epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.7407,1.72921,3.70957,1.4556,0.16288,0.7042,0.18979,0.12579,1.21097,4.22659,1.1757,9.08133e-05,9.08133e-05,9.08133e-05
2,181.468,1.38769,2.08342,1.20876,0.27944,0.69061,0.38184,0.25091,1.23336,1.98338,1.18864,0.000179847,0.000179847,0.000179847
3,308.599,1.30562,1.78259,1.18097,0.38884,0.6416,0.47415,0.30316,1.15399,1.57991,1.20576,0.000265211,0.000265211,0.000265211
4,427.133,1.27083,1.64222,1.1668,0.38277,0.64037,0.38376,0.24925,1.18821,1.50801,1.18621,0.000261487,0.000261487,0.000261487
5,562.077,1.23048,1.50198,1.14177,0.40001,0.60126,0.34617,0.2257,1.10997,1.38478,1.15923,0.000255982,0.000255982,0.000255982
6,704.452,1.24418,1.45179,1.15462,0.41797,0.38091,0.28602,0.1875,1.09975,1.29513,1.15112,0.000250478,0.000250478,0.000250478
7,882.651,1.17009,1.35929,1.12577,0.41926,0.37403,0.25673,0.17162,1.11203,1.2789,1.13912,0.000244974,0.000244974,0.000244974
8,1065.14,1.17659,1.32777,1.12828,0.42585,0.40259,0.29136,0.19637,1.10949,1.25993,1.15213,0.000239469,0.000239469,0.000239469
9,1236.3,1.1745,1.28539,1.12139,0.47814,0.34094,0.31725,0.21228,1.11318,1.09433,1.15384,0.000233965,0.000233965,0.000233965
10,1421.17,1.16197,1.2608,1.13032,0.42128,0.38165,0.28727,0.18909,1.11597,1.1848,1.15526,0.00022846,0.00022846,0.00022846
11,1611.6,1.1355,1.23803,1.11456,0.43767,0.39725,0.27411,0.18353,1.0738,1.17108,1.1306,0.000222956,0.000222956,0.000222956
12,1820.56,1.13691,1.2165,1.1055,0.55908,0.38988,0.36445,0.25105,1.07766,1.03944,1.13712,0.000217452,0.000217452,0.000217452
13,2096.28,1.13722,1.20799,1.10835,0.46891,0.38053,0.31346,0.21224,1.05311,1.13273,1.12737,0.000211947,0.000211947,0.000211947
14,2331.74,1.12089,1.18083,1.10453,0.45541,0.30715,0.26663,0.17112,1.15881,1.09831,1.15734,0.000206443,0.000206443,0.000206443
15,2576.14,1.09995,1.14463,1.084,0.4854,0.35533,0.30808,0.2058,1.10397,1.09146,1.13536,0.000200938,0.000200938,0.000200938
16,2820.39,1.11861,1.1344,1.09216,0.51729,0.35003,0.34276,0.23191,1.08327,1.01723,1.12848,0.000195434,0.000195434,0.000195434
17,3088.18,1.10181,1.10869,1.08496,0.60583,0.25074,0.27712,0.18126,1.06607,0.94794,1.12397,0.00018993,0.00018993,0.00018993
18,82.268,1.11696,1.15825,1.09946,0.44978,0.84718,0.55463,0.368,1.11859,1.24092,1.17403,0.000184425,0.000184425,0.000184425
19,177.277,1.12654,1.12789,1.09066,0.64249,0.81435,0.79243,0.53722,1.09131,0.96882,1.14272,0.000178921,0.000178921,0.000178921
20,296.984,1.08933,1.05103,1.08235,0.58206,0.63177,0.56134,0.37822,1.12686,0.98165,1.15378,0.000173416,0.000173416,0.000173416
21,417.864,1.06422,1.00742,1.07082,0.70478,0.77492,0.79457,0.54788,1.04427,0.92695,1.13778,0.000167912,0.000167912,0.000167912
22,546.546,1.0516,0.99576,1.06416,0.61821,0.77844,0.73377,0.50254,1.08136,1.06373,1.15579,0.000162408,0.000162408,0.000162408
